patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow,has_top_class
S2B_MSIL2A_20170927T094019_N9999_R036_T35VLC_78_87,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Transitional woodland, shrub']",train,Lithuania,S1A_IW_GRDH_1SDV_20170925T043501_35VLC_78_87,S2B_MSIL2A_20170927T094019_78_87,False,False,True
S2B_MSIL2A_20180422T093029_N9999_R136_T34TEQ_80_77,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1B_IW_GRDH_1SDV_20180423T043716_34TEQ_80_77,S2B_MSIL2A_20180422T093029_80_77,False,False,True
S2B_MSIL2A_20170927T094019_N9999_R036_T35VLC_00_61,['Arable land'],train,Lithuania,S1A_IW_GRDH_1SDV_20170928T161150_35VLC_0_61,S2B_MSIL2A_20170927T094019_0_61,False,False,True
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_40_06,"['Inland waters' 'Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Finland,S1A_IW_GRDH_1SDV_20180516T044113_35VNJ_40_6,S2B_MSIL2A_20180515T094029_40_6,False,False,True
S2B_MSIL2A_20171016T101009_N9999_R022_T34VDM_52_08,['Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20171016T045729_34VDM_52_8,S2B_MSIL2A_20171016T101009_52_8,False,False,True
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_05_37,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Belgium,S1A_IW_GRDH_1SDV_20171016T055031_31UGR_5_37,S2B_MSIL2A_20171015T104009_5_37,False,False,True
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_85_49,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures']",train,Lithuania,S1A_IW_GRDH_1SDV_20170925T043501_35ULB_85_49,S2B_MSIL2A_20170927T094019_85_49,False,False,True
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_81_41,"['Arable land' 'Coniferous forest' 'Transitional woodland, shrub'
 'Urban fabric']",train,Portugal,S1B_IW_GRDH_1SDV_20180327T183408_29SNB_81_41,S2B_MSIL2A_20180326T112109_81_41,False,False,True
S2B_MSIL2A_20180421T100029_N9999_R122_T33UXQ_16_81,['Arable land' 'Permanent crops'],train,Austria,S1A_IW_GRDH_1SDV_20180420T050133_33UXQ_16_81,S2B_MSIL2A_20180421T100029_16_81,False,False,True
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNJ_90_23,['Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20171101T042417_35VNJ_90_23,S2A_MSIL2A_20171101T94132_90_23,False,False,True
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_78_45,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Finland,S1B_IW_GRDH_1SDV_20170817T045612_34WFS_78_45,S2B_MSIL2A_20170817T101019_78_45,False,False,True
S2B_MSIL2A_20180201T093219_N9999_R136_T34TEP_81_90,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",train,Serbia,S1B_IW_GRDH_1SDV_20180130T162407_34TEP_81_90,S2B_MSIL2A_20180201T093219_81_90,False,False,True
S2B_MSIL2A_20180509T092029_N9999_R093_T34TFN_11_56,"['Broad-leaved forest' 'Pastures' 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20180511T043832_34TFN_11_56,S2B_MSIL2A_20180509T092029_11_56,False,False,True
S2B_MSIL2A_20171107T105229_N9999_R051_T31UER_30_01,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Pastures' 'Urban fabric']",train,Belgium,S1B_IW_GRDH_1SDV_20171108T055808_31UER_30_1,S2B_MSIL2A_20171107T105229_30_1,False,False,True
S2B_MSIL2A_20180421T100029_N9999_R122_T33UWQ_16_78,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Austria,S1A_IW_GRDH_1SDV_20180421T165111_33UWQ_16_78,S2B_MSIL2A_20180421T100030_16_78,False,False,True
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_89_55,['Inland waters'],train,Finland,S1A_IW_GRDH_1SDV_20180525T153259_35VNL_89_55,S2B_MSIL2A_20180525T094029_89_55,False,False,True
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_88_89,['Agro-forestry areas' 'Arable land'],train,Portugal,S1A_IW_GRDH_1SDV_20171122T063450_29SND_88_89,S2A_MSIL2A_20171121T112351_88_89,False,False,True
S2B_MSIL2A_20180428T095029_N9999_R079_T33TXN_41_06,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Austria,S1B_IW_GRDH_1SDV_20180426T050059_33TXN_41_6,S2B_MSIL2A_20180428T095029_41_6,False,False,True
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_01_17,"['Coniferous forest' 'Inland waters' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20180524T154016_35VNK_1_17,S2B_MSIL2A_20180525T94031_1_17,False,False,True
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_61_84,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162425_34TEN_61_84,S2A_MSIL2A_20171208T093351_61_84,False,False,True
S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_43_78,['Arable land' 'Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20170717T064630_29UPV_43_78,S2A_MSIL2A_20170717T113322_43_78,False,False,True
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_09_09,"['Complex cultivation patterns' 'Mixed forest' 'Permanent crops'
 'Transitional woodland, shrub' 'Urban fabric']",train,Portugal,S1B_IW_GRDH_1SDV_20171121T064205_29SND_9_9,S2A_MSIL2A_20171121T112351_9_9,False,False,True
S2A_MSIL2A_20170818T103021_N9999_R108_T32TMT_13_79,"['Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures']",train,Switzerland,S1B_IW_GRDH_1SDV_20170818T054218_32TMT_13_79,S2A_MSIL2A_20170818T103021_13_79,False,False,True
S2A_MSIL2A_20170803T094031_N9999_R036_T34TCR_88_18,['Arable land' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170802T163350_34TCR_88_18,S2A_MSIL2A_20170803T094031_88_18,False,False,True
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_83_70,"['Inland wetlands' 'Mixed forest' 'Transitional woodland, shrub']",train,Lithuania,S1A_IW_GRDH_1SDV_20180413T161957_34UEG_83_70,S2A_MSIL2A_20180413T095031_83_70,False,False,True
S2B_MSIL2A_20170924T093019_N9999_R136_T35UMB_31_84,['Arable land' 'Coniferous forest' 'Mixed forest'],train,Lithuania,S1B_IW_GRDH_1SDV_20170924T155419_35UMB_31_84,S2B_MSIL2A_20170924T93020_31_84,False,False,True
S2B_MSIL2A_20180511T100029_N9999_R122_T34VDM_74_10,['Broad-leaved forest' 'Marine waters' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20180514T161304_34VDM_74_10,S2B_MSIL2A_20180511T100029_74_10,False,False,True
S2B_MSIL2A_20170927T094019_N9999_R036_T35VLC_12_59,['Arable land' 'Complex cultivation patterns'],train,Lithuania,S1A_IW_GRDH_1SDV_20170928T161150_35VLC_12_59,S2B_MSIL2A_20170927T094019_12_59,False,False,True
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_02_84,"['Arable land' 'Moors, heathland and sclerophyllous vegetation'
 'Natural grassland and sparsely vegetated areas']",train,Portugal,S1B_IW_GRDH_1SDV_20171203T064255_29SNB_2_84,S2A_MSIL2A_20171201T112431_2_84,False,False,True
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_00_60,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_0_60,S2B_MSIL2A_20170914T093029_0_60,False,False,True
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_57_86,"['Arable land' 'Pastures' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171121T183515_29SND_57_86,S2A_MSIL2A_20171121T112351_57_86,False,False,True
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_05_46,"['Broad-leaved forest' 'Transitional woodland, shrub']",train,Portugal,S1B_IW_GRDH_1SDV_20171121T064205_29SND_5_46,S2A_MSIL2A_20171121T112351_5_46,False,False,True
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_12_77,"['Coniferous forest' 'Pastures' 'Transitional woodland, shrub']",train,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_12_77,S2B_MSIL2A_20180421T114349_12_77,False,False,True
S2A_MSIL2A_20180508T104031_N9999_R008_T31UGS_18_88,"['Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Urban fabric']",train,Belgium,S1A_IW_GRDH_1SDV_20180508T055029_31UGS_18_88,S2A_MSIL2A_20180508T104031_18_88,False,False,True
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_20_85,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20180430T162450_34TEP_20_85,S2B_MSIL2A_20180502T093039_20_85,False,False,True
S2B_MSIL2A_20170911T092019_N9999_R093_T34TFN_04_37,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20170913T043820_34TFN_4_37,S2B_MSIL2A_20170911T092019_4_37,False,False,True
S2B_MSIL2A_20170802T092029_N9999_R093_T34TFN_09_35,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1B_IW_GRDH_1SDV_20170802T043751_34TFN_9_35,S2B_MSIL2A_20170802T092029_9_35,False,False,True
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_71_11,"['Arable land' 'Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Austria,S1A_IW_GRDH_1SDV_20180421T165046_33TWN_71_11,S2B_MSIL2A_20180421T100029_71_11,False,False,True
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_55_82,['Coniferous forest' 'Pastures' 'Urban fabric'],train,Ireland,S1B_IW_GRDH_1SDV_20180225T063842_29UPU_55_82,S2A_MSIL2A_20180225T114351_55_82,False,False,True
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_10_31,"['Coniferous forest' 'Inland waters' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20180516T044113_35VNJ_10_31,S2B_MSIL2A_20180515T094029_10_31,False,False,True
S2B_MSIL2A_20170824T100019_N9999_R122_T33TWM_47_00,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Austria,S1A_IW_GRDH_1SDV_20170824T165022_33TWM_47_0,S2B_MSIL2A_20170824T100019_47_0,False,False,True
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_90_83,['Agro-forestry areas' 'Arable land'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063356_29SND_90_83,S2B_MSIL2A_20180515T112110_90_83,False,False,True
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_32_81,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Finland,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_32_81,S2B_MSIL2A_20170709T094029_32_81,False,False,True
